entity,target_lang,translation
White Queen,it,Emma Frost
Alice,it,Alice
Through the Looking-Glass,it,Through the Looking-Glass
Italian,it,italiano
Doogie Kameāloha,it,Dottoressa Doogie
M.D.,it,dottore in medicina
Porcelain Tower of Nanjing,it,Torre di porcellana
Great Bao'en Temple,it,Great Bao'en Temple
The Open Society and Its Enemies,it,La società aperta e i suoi nemici
Koutloumousiou monastery,it,Monastero di Koutloumousiou
Greece,it,Grecia
Chibi Vampire,it,Karin
chicken,it,pollo
shrimp,it,gamberetto
fried rice,it,riso fritto
regular steamed rice,it,regular steamed rice
White Lightning,it,White Lightning
Space Battleship Yamato II,it,Uchū senkan Yamato 2
The Redbreast,it,Il pettirosso
2022,it,2022
Diary of a Fleeting Affair,it,Una relazione passeggera
Vezzolano Abbey,it,abbazia di Vezzolano
The Midwich Cuckoos,it,I figli dell'invasione
Rudolf and Ippaiattena,it,Rudolf alla ricerca della felicità
The Roman Holidays,it,S.P.Q.R. - Sembrano Proprio Quasi Romani
SAE,it,SAE International
SAE steel grades,it,Acciai grado SAE
Hello Stranger,it,Kuan meun ho
buckwheat flour,it,farina di grano saraceno
Carlos Ruiz Zafón,it,Carlos Ruiz Zafón
The Angel's Game,it,Il gioco dell'angelo
Spider's Web,it,ragnatela
The Princess and the Pea,it,La principessa sul pisello
"Concerto for Flute, Harp, and Orchestra",it,"Concerto per flauto, arpa e orchestra"
Flute,it,flauto
Harp,it,Harp
Orchestra,it,orchestra
The Phoenix and the Turtle,it,La fenice e la tortora
Prince Gabriel,it,Prince Gabriel
Belgium,it,Belgio
Agatha Christie,it,Agatha Christie
Agatha Christie's Partners in Crime,it,In due s'indaga meglio
Distant Drums,it,Tamburi lontani
Wild Chicks in Love,it,Le galline selvatiche e l'amore
Camera Lucida,it,camera lucida
The Seven Last Words of Christ,it,Die sieben letzten Worte unseres Erlösers am Kreuze
Into the Wild,it,Into the Wild - Nelle terre selvagge
St. Peter's Basilica,it,basilica di San Pietro
Seal of Hawaii,it,Stemma delle Hawaii
The Lost Ones,it,The Lost Ones
Samuel Beckett,it,Samuel Beckett
Twilight of the Idols,it,Il crepuscolo degli idoli
Friedrich Nietzsche,it,Friedrich Nietzsche
Heart of Darkness,it,Heart of Darkness
The Amber Spyglass,it,The Amber Spyglass
That Touch of Mink,it,Il visone sulla pelle
Richard Strauss,it,Richard Strauss
A Hero's Life,it,Ein Heldenleben
Second Epistle to the Thessalonians,it,Seconda lettera ai Tessalonicesi
First Epistle to the Thessalonians,it,Prima lettera ai Tessalonicesi
Book of Ezra,it,Libro di Esdra
Goof Troop,it,Ecco Pippo!
Sacred Military Constantinian Order of Saint George,it,Ordine costantiniano di San Giorgio
chewing tobacco,it,Tabacco da masticare
oral health,it,Oral health
dental problems,it,dental problems
Trout Quintet,it,Quintetto per pianoforte e archi in la maggiore (Schubert)
A Princess for Christmas,it,Natale a Castlebury Hall
Ipatiev House,it,Casa Ipat'ev
Valaam Monastery,it,Monastero di Valaam
walnut oil,it,olio di noci
Fountains of Rome,it,Le fontane di Roma
Ottorino Respighi,it,Ottorino Respighi
Rome,it,Roma
Fantastic Four: World's Greatest Heroes,it,I Fantastici Quattro
Fantastic Four,it,Fantastici Quattro
Mamusse Wunneetupantamwe Um Biblum,it,Bibbia Eliot degli Indiani d'America
God,it,divinità
Bridal Chorus,it,Coro nuziale
Avenging Force,it,I cacciatori della notte
potato salad,it,insalata di patate
The Invisible Man,it,L'uomo invisibile
Maud of Wales,it,Maud del Galles
British monarchy,it,Monarchia del Regno Unito
Pochayiv Lavra,it,Monastero di Počaïv
